E017	IMR90	IMR90 fetal lung fibroblasts Cell Line
E002	ESC	ES-WA7 Cells
E008	ESC	H9 Cells
E001	ESC	ES-I3 Cells
E015	ESC	HUES6 Cells
E014	ESC	HUES48 Cells
E016	ESC	HUES64 Cells
E003	ESC	H1 Cells
E024	ESC	ES-UCSF4  Cells
E020	iPSC	iPS-20b Cells
E019	iPSC	iPS-18 Cells
E018	iPSC	iPS-15b Cells
E021	iPSC	iPS DF 6.9 Cells
E022	iPSC	iPS DF 19.11 Cells
E007	ES-deriv	H1 Derived Neuronal Progenitor Cultured Cells
E009	ES-deriv	H9 Derived Neuronal Progenitor Cultured Cells
E010	ES-deriv	H9 Derived Neuron Cultured Cells
E013	ES-deriv	hESC Derived CD56+ Mesoderm Cultured Cells
E012	ES-deriv	hESC Derived CD56+ Ectoderm Cultured Cells
E011	ES-deriv	hESC Derived CD184+ Endoderm Cultured Cells
E004	ES-deriv	H1 BMP4 Derived Mesendoderm Cultured Cells
E005	ES-deriv	H1 BMP4 Derived Trophoblast Cultured Cells
E006	ES-deriv	H1 Derived Mesenchymal Stem Cells
E062	Blood & T-cell	Primary mononuclear cells fromåÊperipheralåÊblood
E034	Blood & T-cell	Primary T cells fromåÊperipheralåÊblood
E045	Blood & T-cell	Primary T cells effector/memory enriched from peripheral blood
E033	Blood & T-cell	Primary T cells from cord blood
E044	Blood & T-cell	Primary T regulatory cells fromåÊperipheralåÊblood
E043	Blood & T-cell	Primary T helper cells fromåÊperipheralåÊblood
E039	Blood & T-cell	Primary T helper naive cells fromåÊperipheralåÊblood
E041	Blood & T-cell	Primary T helper cells PMA-I stimulated
E042	Blood & T-cell	Primary T helper 17 cells PMA-I stimulated
E040	Blood & T-cell	Primary T helper memory cells from peripheral blood 1
E037	Blood & T-cell	Primary T helper memory cells from peripheral blood 2
E048	Blood & T-cell	Primary T CD8+ memory cells from peripheral blood
E038	Blood & T-cell	Primary T helper naive cells from peripheral blood
E047	Blood & T-cell	Primary T CD8+ naive cells from peripheral blood
E029	HSC & B-cell	Primary monocytes fromåÊperipheralåÊblood
E031	HSC & B-cell	Primary B cells from cord blood
E035	HSC & B-cell	Primary hematopoietic stem cells
E051	HSC & B-cell	Primary hematopoietic stem cells G-CSF-mobilized Male
E050	HSC & B-cell	Primary hematopoietic stem cells G-CSF-mobilized Female
E036	HSC & B-cell	Primary hematopoietic stem cells short term culture
E032	HSC & B-cell	Primary B cells from peripheral blood
E046	HSC & B-cell	Primary Natural Killer cells fromåÊperipheralåÊblood
E030	HSC & B-cell	Primary neutrophils fromåÊperipheralåÊblood
E026	Mesench	Bone Marrow Derived Cultured Mesenchymal Stem Cells
E049	Mesench	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells
E025	Mesench	Adipose Derived Mesenchymal Stem Cell Cultured Cells
E023	Mesench	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells
E052	Myosat	Muscle Satellite Cultured Cells
E055	Epithelial	Foreskin Fibroblast Primary Cells skin01
E056	Epithelial	Foreskin Fibroblast Primary Cells skin02
E059	Epithelial	Foreskin Melanocyte Primary Cells skin01
E061	Epithelial	Foreskin Melanocyte Primary Cells skin03
E057	Epithelial	Foreskin Keratinocyte Primary Cells skin02
E058	Epithelial	Foreskin Keratinocyte Primary Cells skin03
E028	Epithelial	Breast variant Human Mammary Epithelial Cells (vHMEC)
E027	Epithelial	Breast Myoepithelial Primary Cells
E054	Neurosph	Ganglion Eminence derived primary cultured neurospheres
E053	Neurosph	Cortex derived primary cultured neurospheres
E112	Thymus	Thymus
E093	Thymus	Fetal Thymus
E071	Brain	Brain Hippocampus Middle
E074	Brain	Brain Substantia Nigra
E068	Brain	Brain Anterior Caudate
E069	Brain	Brain Cingulate Gyrus
E072	Brain	Brain Inferior Temporal Lobe
E067	Brain	Brain Angular Gyrus
E073	Brain	Brain_Dorsolateral_Prefrontal_Cortex
E070	Brain	Brain Germinal Matrix
E082	Brain	Fetal Brain Female
E081	Brain	Fetal Brain Male
E063	Adipose	Adipose Nuclei
E100	Muscle	Psoas Muscle
E108	Muscle	Skeletal Muscle Female
E107	Muscle	Skeletal Muscle Male
E089	Muscle	Fetal Muscle Trunk
E090	Muscle	Fetal Muscle Leg
E083	Heart	Fetal Heart
E104	Heart	Right Atrium
E095	Heart	Left Ventricle
E105	Heart	Right Ventricle
E065	Heart	Aorta
E078	Sm. Muscle	Duodenum Smooth Muscle
E076	Sm. Muscle	Colon Smooth Muscle
E103	Sm. Muscle	Rectal Smooth Muscle
E111	Sm. Muscle	Stomach Smooth Muscle
E092	Digestive	Fetal Stomach
E085	Digestive	Fetal Intestine Small
E084	Digestive	Fetal Intestine Large
E109	Digestive	Small Intestine
E106	Digestive	Sigmoid Colon
E075	Digestive	Colonic Mucosa
E101	Digestive	Rectal Mucosa Donor 29
E102	Digestive	Rectal Mucosa Donor 31
E110	Digestive	Stomach Mucosa
E077	Digestive	Duodenum Mucosa
E079	Digestive	Esophagus
E094	Digestive	Gastric
E099	Other	Placenta Amnion
E086	Other	Fetal Kidney
E088	Other	Fetal Lung
E097	Other	Ovary
E087	Other	Pancreatic Islets
E080	Other	Fetal Adrenal Gland
E091	Other	Placenta
E066	Other	Liver
E098	Other	Pancreas
E096	Other	Lung
E113	Other	Spleen
E114	ENCODE2012	A549 EtOH 0.02pct Lung Carcinoma Cell Line
E115	ENCODE2012	Dnd41 TCell Leukemia Cell Line
E116	ENCODE2012	GM12878 Lymphoblastoid Cells
E117	ENCODE2012	HeLa-S3 Cervical Carcinoma Cell Line
E118	ENCODE2012	HepG2 Hepatocellular Carcinoma Cell Line
E119	ENCODE2012	HMEC Mammary Epithelial Primary Cells
E120	ENCODE2012	HSMM Skeletal Muscle Myoblasts Cells
E121	ENCODE2012	HSMM cell derived Skeletal Muscle Myotubes Cells
E122	ENCODE2012	HUVEC Umbilical Vein Endothelial Primary Cells
E123	ENCODE2012	K562 Leukemia Cells
E124	ENCODE2012	Monocytes-CD14+ RO01746 Primary Cells
E125	ENCODE2012	NH-A Astrocytes Primary Cells
E126	ENCODE2012	NHDF-Ad Adult Dermal Fibroblast Primary Cells
E127	ENCODE2012	NHEK-Epidermal Keratinocyte Primary Cells
E128	ENCODE2012	NHLF Lung Fibroblast Primary Cells
E129	ENCODE2012	Osteoblast Primary Cells
